activitat_,nom_abocam,Punt2
"ÁRIDOS FIGUERAS, SA","ARIDOS FIGUERAS, SA  (SORTIDA SOBREEIXIDOR BASSA)",525
"CÀRNIQUES AUSA, SL","CÀRNIQUES AUSA, SL  (SORTIDA DEPURADORA EMPRESA)",315
"CERAMICA SAN GENIS,SA",CERAMICA SAN GENÍS_Abocament (Torrent de la Marquesa),165
"INTERNITCO COMERÇ, SL","INTERNITCO COMERÇ, SL BL20030357 (SORTIDA RESIDUALS SANITÀRIES)",586
"SAGARRA BASCOMPTE, S.A.","SAGARRA BASCOMPTE, SA (sortida a la riera)",162
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (SORTIDA TRACTAMENT 1)",121
ASS. ADM. DE COOPERACIÓ CAN CORTES SECTOR A,ASSOCIACIÓ ADM. CAN CORTÈS (SORTIDA TRACTAMENT),110
"CEMENTOS MOLINS INDUSTRIAL, SA",CEMEX SANT FELIU DE LLOBREGAT ABOCAMENT PLUVIALS RIERA SALUT,100
"TAIGUA, AIGUA MUNICIPAL TERRASSA","Taigua, Aigua municipal de Terrassa-desguàs depuradora",187
PLA-GIRIBERT & TORRES CIA CB  -MAS ISERN-,CARLOS PLA-GIRIBERT BRUGUERA (SORTIDA TRACTAMENT),394
"CEPSA ESTACIONES DE SERVICIO, SA   -  E.S. CADI","CEPSA ESTACIONES DE SERVICIO, SA  E.S. CADI (LLERA)",281
"CODELFE PENEDÈS 2006, SL",POLÍGON INDUSTRIAL LES PLANES BAIXES - AJ.LA BISBAL DEL PENEDÈS (SORTIDA DEPURADORA - FERTIRRIGACIÓ),63
"LORENZO RUA, HORACIO  -RESTAURANT LA MONGETA-",RIU FLUVIA  (HORACIO LORENZO RUA),545
"EUROPASTRY, SA - PLANTA DE VALLMOLL","EUROPASTRY, SA (SORTIDA DECANTADOR I PURGUES DE CONDENSATS)",29
"KM5 INTERNATIONAL, SL (PEDRERA EL ROCÀ)",PEDRERA EL ROCÀ (SORTIDA SANITÀRIES),327
"RECUPERAUTO PALAFOLLS, SL","Abocament  1 RECUPERAUTO PALAFOLLS, SL (decantador)",331
"EXPLOTACIONES AGRICOLAS Y FORESTALES BRUGAROL, SA  -CELLER-","EXPLOTACIONES AGRICOLAS Y FORESTALES BRUGAROL, SA (SORTIDA DEPURADORA EMPRESA)",385
"BUGADERIA INDUSTRIAL LES BORGES, SL","MESTRES FIGUERES, RAMON_Abocament",8
SUPRACOMUNITAT PROPI. CIM LA SELVA,SUPRACOMUNITAT CIM DE LA SELVA  (SORTIDA DEPURADORA EMPRESA),424
AJUNTAMENT DE CANYELLES (URB. VORA SITGES),AJUNTAMENT DE CANYELLES (URB.VORA SITGES),83
"RECYMET SYSTEMS, SL","RECYMET SYSTEMS, SL (FOCUS 2 SORTIDA PLUVIALS CONTAMINADES)",113
"ROTOCAYFO,SL",PRINTER-Riera Manya,104
"RESTAURANT URBISOL, SL","RIERA DE MALRUBI (RESTAURANT URBISOL, SL)",252
EDAR SANT QUIRZE DE BESORA,EDAR I COL·LECTOR DE SANT QUIRZE DE BESORA,483
"PREBESEC, SA  -PLANTA DE COLOMERS-",AA2003002317 RIU TER,398
"CAMBRAS CORRALIZA, JOAN",JOAN CAMBRAS CORRALIZA (SORTIDA DEPURADORA),489
EDAR BONMATÍ,ABOC EDAR BONMATÍ,443
"SERRA BOSCH, ANNA (RESTAURANTE TRES PINS)","ABOC.RTE.EL POSTE TRES PINS, SL AL TORRENT FOGUERAR",320
"OXIRIS CHEMICALS, SA","Abocament OXIRIS CHEMICALS, SA_Riu Tordera",345
URBANITACIO CAN CERDA,CAN CERDÀ (SORTIDA DEPURADORA) - Torrent de Can Cerdà,288
"MAS CUCUT, SCP","MAS CUCUT, SCP   (SORTIDA DEPURADORA)",569
GESTORA DE RUNES DE LA CONSTRUCCIO SA-LA PLANA RESIDUS INDUSTRIALS SL UTE GRC-LPRI MANLLEU,LA PLANA RESIDUS INDUSTRIALS (RESIDUALS DEL VAS),475
"L.C. PAPER 1881, SA","L.C. PAPER 1881, SA (SORTIDA DEPURADORA)",557
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU  (PEATGE DUANA)",517
"LA PLANA RESIDUS INDUSTRIALS, SL",LA PLANA RESIDUS INDUSTRIALS SORTIDA PLUVIALS I REG,475
"PULIDOS Y CROMADOS DE METALES, SL",CROMIPUL (SORTIDA SANITÀRIES),135
"PMT-EUROPE, SL",TORRENT DE MINYÓ (AIGÜES RESIDUALS SANITÀRIES PLANTA BAIXA),348
"INDUSTRIA AUXILIAR CARROCERIAS, SL","INDÚSTRIA AUXILIAR CARROCERIA, SL (SORTIDA DEPURADORA)",349
"ARMENGOL ESTEVA, ESTEVE","ARMENGOL ESTEVA, ESTEVE (SORTIDA DEPURADORA)",44
CONSELL COMARCAL DEL BERGUEDÀ,"CONSELL COMARCAL DEL BERGUEDÀ, PLUVIALS SEMINETES, FOCUS 3",274
CASA CAL FAINÉ,TORRENT DEL RUBIO (afluent del riu Llobregat),198
"COMAIGUA, SL","SECOMSA AIGÜES, SL (LLERA-RIERA D'ALFORJA)",9
"ESCORXADOR BAIX CAMP, SA",ESCORXADOR BAIX CAMP SA(SANITÀRIES I INDUSTRIALS),18
"ESTACIÓ DE SERVEI BALLUS, SA","ESTACIÓ DE SERVEI OLVAN (BALLÚS, SA) SORTIDA TRACTAMENT",273
"TRADIA TELECOM, SA (BEGUES)",AA2003002202 PLA DE LA BASSA LLACUNA (BEGUES),81
"VENI ESPORT, SL",AA2003000516-Riera de la Llena,263
"IBERINOX 88, SA","Abocament 2 IBERINOX 88, SA Riera de la Salut aigües pluvials",101
"BODEGAS TROBAT, SA","BODEGAS TROBAT, SA (SORTIDA AIGÜES PROCÉS+SANITÀRIES)",516
"ECOLOGIA Y MEDIOAMBIENTE INTEGRADOS, SL (ECOPIL)","ECOLOGIA YL MEDIOAMBIENTE INTEGRADOS, SL (soritda sanitàries i neteja)",319
"DOMAX, SL","DOMAX, SL (SORTIDA PRETRACTAMENT)",525
"VERALLIA SPAIN, SA","SAINT GOBAIN VICASA, SA",45
"CALES DE LLIERCA, SA","CALES DE LLIERCA, SA (sortida depuradora)",546
"SILVALAC, SA (PLANTA PALLARESOS)","INDUSTRIAS GRAFICAS CASTELLS, SA  (SORTIDA REFRIGERACIÓ I SANITÀRIA)",27
"CÀMPING DE LA VALL DE BIANYA, SA","CAMPING LA VALL DE BIANYA, SA  (SORTIDA DEPURADORA)",540
"ESTACIÓ SERVEI MASET, SAU  -E.S. PEDRET I MARZÀ-","ESTACIÓ DE SERVEI MASET, SA (SORTIDA SEPARADOR HIDROCARBURS + RENTAT)",516
"CÀMPING DE VIDRÀ, SA","CÀMPING DE VIDRÀ, SA (sortida depuradora)",477
"CARBURANTS J. SOLANAS, SL",CARBURANTS J-SOLANAS: Sortida tractament,97
"CARATENOID TECHNOLOGIES, SA",Abocament INQUIFASA,26
"RECHE CARMONA, CRISTINA",CRISTINA RECHE CARMONA  (SORTIDA TRACTAMENT),490
"PUJOL GEBELLI, DAVID  -CASA DE COLÒNIES LES TALLADES-",DAVID PUJOL GEBELLI - CASA COLONIES LES TALLADES (SORTIDA DEPURADORA),454
"SCA HYGIENE PAPER ESPAÑA, SL (PUIGPELAT 1)",SCA HYGIENE PAPER ESPAÑA SL _Abocament (Barranc de les Voltes),49
"RESTAURANT CAN RASPALL, SCP",Abocament 021998000972,316
"GESTORA DE RUNES DE LA CONSTRUCCIÓ, SA",Gestora de runes de la construcció_Riera de Riudoms,10
"CERÀMIQUES ESTRUCTURALS MANRESANAS, SL","CERAMIQUES MANRESANAS, SL (LLERA)",216
ANTONI MONTAÑA MORETÓ,Abocament  ANTONI MONTAÑA MORETÓ - torrent de la Roureda,456
"ARNAU ARNAU, JOSE  -GRANJA FONTANIL-",JOSEP ARNAU ARNAU - (SORTIDA DEPURADORA),449
"FARRE LOGISTICS, SL","FARRE LOGISTICS, S.L (SORTIDA FOSSA + FILTRE)",367
MINYONS ESCOLTES I GUIES SANT JORDI DE CATALUNYA,Abocament de MINYONS ESCOLTES I GUIES SANT JORDI DE CATALUNYA - torrent de Can Girona,303
"RIEMBAU, SCCL -RESTAURANT LA BARRICONA-","RIEMBAU, SCCL (SORTIDA TRACTAMENT)",498
"DESGUACES DE AUTOMOVILES, SL",DESGUACES DE AUTOMOVILES (SORTIDA DESARENADOR),305
"JUVE & CAMPS, SA",TORRENT DE CAN TORRES (JUVE I CAMPS),133
"ASDARA MOBILIARI, SA",021999001782 TORRENT DE GASERANS,353
FUNDACIO PRIVADA MONA,FUNDACIÓ PRIVADA MONA (SORTIDA DEPURADORA),424
"PLASTIARMETSA, SA",ABOCAMENT PLASTIARMETSA (AIGÜES SANITÀRIES),413
"SEGURA VIUDAS, SA","ABOCAMENT SEGURA VIUDAS, SA - RIERA DE RIUDEBITLLES (RESTA DE L'ANY)",145
"TRANS GRUES FONT, SL",TRANS GRUES FONT SL (SORTIDA DESARENADOR 2 I SEPARADOR HIDROCARBURS),547
"PERE ROCA, SA","Abocament PERE ROCA,SA - riera de Bell-lloc",385
"MARIA NUTO, SA",Abocament MARIA NUTO SA - Torrent Sant Francesc,144
"VALLTER, SA","VALLTER, SA  (SORTIDA AIGÜES RESIDUALS RESTAURANT+SERVEIS)",508
JERÓNIMO RUIZ GÓMEZ,AA2003000635,25
MARTA CASANOVAS BOHIGAS,MARTA CASANOVAS BOHIGAS,399
"PROJOSMAN, SA","PROJOSMAN, SA",414
"LABORATORIOS HIPRA, SA  -CIAMER-","LABORATORIOS HIPRA, SA (CIAMER)_Abocament (Riu Brugent)",448
CENTRE  DE TELECOMUNICACIONS DE COLLSUSPINA,AA2003002200 EL CASTELLAR (COLLSUSPINA),315
ESPECIALIDADES ELECTRICAS ESCUBEDO SAU,ESPECIALITATS ELÈCTRIQUES ESCUBEDO S.A (tractament fisico-químic),414
"RESIDUS DEL BAGES,S.L.",RESIDUS DEL BAGES FOCUS:A (SERVEIS I OFICINES),212
"FARINES OSONA, SL","FARINES OSONA, SL (Sortida depuradora) - riu Ter",475
"METALES BAIX LLOBREGAT, SL.","METALES BAIX LLOBREGAT 2000, SL (SORTIDA SANITÀRIES)",171
CONSORCI DEL PARC NATURAL DE LA SERRA DE COLLSEROLA,CONSORCI DEL PARC DE COLLSEROLA - TORRENT DE CAN COLL,288
"COOP. AGRICOLA I CAIXA AGRARIA MASLLORENÇ, SCCL",COOPERATIVA AGRÍCOLA I CAIXA AGRÀRIA MASLLORENÇ SCCL (SORTIDA SANITÀRIES),54
ENTITAT URBANISTICA CONSERVACIO PLA PARCIAL-8,PROJECTE URBANITZACIO PP17 I PP08 (SORTIDA DEPURADORA),
ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS,ABOCAMENT - ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS - TORRENT INNOMINAT,28
"CEMENTOS MOLINS INDUSTRIAL, SA","CEMEX SANT FELIU DE LLOBREGAT, ABOCAMENT SANITÀRIES A BARRANC CAN MARCH",100
"AREAMED 2000, SA - AREA DE SERVEI DEL PENEDÈS","AREAMED 2000, SA - AREA DE SERVEI DEL PENEDES sortida EDAR a riera de Marmellà",67
"SERVEIS D'INCINERACIO DE RESIDUS URBANS, SA",SIRUSA,25
"BOSCH DEL BES, S.C.P","BOSCH DEL BES, S.C.P (riera de la Vall del Bac)",551
"TRANS GRUES FONT, SL",TRANS GRUES FONT SL (SORTIDA FOSSA SÈPTICA FILTRANT),595
"B.C. BUGADERIA CATALUNYA, SRL","B.C. BUGADERIA CATALUNYA, SRL",19
"RIPLEG, SA","RIPLEG, S.A.U.",498
"OUTILS WOLF ESPAÑA, SL","021999000249-OUTILS WOLF ESPAÑA,SL",354
AJUNTAMENT DE RENAU,AJUNTAMENT DE RENAU (SORTIDA EDAR MUNICIPI),53
AJUNTAMENT DE PIERA (BARRI DE LA FORTESA),AJUNTAMENT DE PIERA (BARRI DE LA FORTESA),150
"DESGUACES LA CABAÑA, SL",DESGUACES LA CABAÑA PLUVIALS PUNT 2,316
"PASCUAL MERCADER, JOAQUIM - LACTICS TRAMUNTANA-","PASCUAL MERCADER, JOAQUIM -LACTICS TRAMUNTANA-  (SORTIDA AIGUA NETEGES I REFRIGERACIÓ)",530
"INFRAESTRUCTURES VIARIES DE CATALUNYA, SA","INFRAESTRUCTURES VIARIES DE CATALUNYA, SA-PEATGE I BARRERA  ARENYS (ABOCAMENT 3)",
"TYLER, PAUL",PAUL TYLER: BARRANC DE NUALARD,360
CEMENTOS PORTLAND VALDERRIVAS SA,AA2003002330 RIERA DE VILAFRANCA  (Punt 1),84
"CASTELLS SALVANS, RAMON",RAMON CASTELLS SALVANS,468
"ROVIRA BAUCELLS, IMMA",IMMA ROVIRA BAUCELLS (SORTIDA TRACTAMENT),480
"RECUPERACIONS MARCEL NAVARRO I FILLS, SL",Recuperacions Marcel Navarro,430
"CENTRE HIPIC 3 AIRES, SL",CENTRE HIPIC 3 AIRES SL (SORTIDA DEPURADORA),208
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (PEATGE VILA-RODONA)",57
"BRI-AUTO PLATFORM, SL (RESTAURANT ESTEBANELL)",RESTAURANT MAS ESTABANELL (SORTIDA DEPURADORA),315
"DESGUACE LA ROCA, SL","DESGUACE LA ROCA, SL (SORTIDA AIGÜES PLUVIALS)",290
"SOCIEDAD ESPAÑOLA DE CARBUROS METALICOS, SA","ABOC.1 - SDAD.ESPAÑOLA CARBUROS METALICOS, SA: 021997000351",345
"MIQUEL GARDELL, SA","MIQUEL GARDELL, SA (AIGÜES DE PLUJA)",501
"CEMENTIRIS DE BARCELONA, SA","CEMENTERIS DE BARCELONA, SA (SORTIDA DEPURADORA)",288
CONSELL COMARCAL DEL BAIX PENEDÈS (EDAR BONASTRE),CONSELL COMARCAL DEL BAIX PENEDÈS - EDAR BONASTRE (SORTIDA DEPURADORA),
SIRAP PACKAGING IBERICA SLU,RIERA DE LA RIBA (SIRAP PACKAGING IBERICA SLU - OLVAN),271
ASSOCIACIÓ VALL DE TOSSA DE LA MOLINA,VALL DE TOSSA DE LA MOLINA (MAS DEL BOSC) (SORTIDA DEPURADORA),285
AJUNTAMENT DE SANT ESTEVE SESROVIRES (TORRENT LES MORERES),"Abocament CA N'ESTELLA, SA - torrent de les Moreres",172
"FIRTEC, SA","FIRTEC, SA (AIGÜES PLUVIALS POTENCIALMENT CONTAMINADES)",291
"SOLA BONET, JOSE",022001000181- Riera St. Climent de Peralta,393
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (LA ROCA DEL VALLÈS), PK 128,7 (SORTIDA DEPURADORA)",609
"AGRICOLA RAMADERA LES ANGLADES, SCP","AGRICOLA RAMADERA LES ANGLADES, SCP (SORTIDA DEPURADORA)",568
"TORRASPAPEL, SA  (SARRIÀ DE TER)","ABOCAMENT TORRASPAPEL, SA (SORTIDA AIGÜES RESIDUALS)",415
"RESANGI, SL  -SANTUARI SANTA MARIA DEL COLLELL-","RESANGI, SL -SANTA MARIA DEL COLLELL-  (SORTIDA DEPURADORA EMPRESA)",565
"LABORATORIO JAER, SA","LABORATORIO JAER, SA_Abocament (Llera)",602
"FIBRAN, SA","CANAL RIU TER (FIBRAN, SA)",500
JUNTA COMP. SUBSECT. 1 Y 2 PLAN PARCIAL CAN BAGES,POLÍGON INDUSTRIAL CAN BAGES (SORTIDA DEPURADORA),292
AIGÜES DE MANRESA - BARRI DE VILADORDIS,"AIGÜES DE MANRESA, SA - BARRI DE VILADORDIS (TORRENT INNOMINAT)",243
"AUTOPISTES DE CATALUNYA, SA","AUTOPISTES DE CATALUNYA, SA (BARRERA I AM VALLCARCA): TORRENT FONDO DE VALLCARCA",
"PETRO PALOL, SL","PETRO PALOL, SL (SORTIDA DESARENADOR + SEPARADOR HIDROCARBURS)",409
"SALVADOR SERRA, SA",SALVADOR SERRA SA (SORTIDA DECANTADOR - 1),411
"SELVAVENTURA, SL","SELVAVENTURA, SL (SORTIDA DEPURADORA)",347
"PUIG DEUMAL, REMEI (CAMPING LES ILLES)",CÀMPING LES ILLES-PUNT D'ABOCAMENT 1,336
"PUIGJANER AMAT, LLUISA",LLUISA PUIGJANER AMAT (SORTIDA DEPURADORA),321
"VENTURA, ORXATA I GELATS, SA","VENTURA, ORXATA I GELATS, SA - torrent de Can Sora",318
"MAHLE BEHR SPAIN, SA - PLANTA DE MONTBLANC","FABRICA FRAPE BEHR, S.A.",45
"CAN CLARENS, SL","Abocament CAN CLARENS, SL - Sot de Can Montesell",333
"MAS MAROTO HERMINA Y CIA, CB","CAL SASTRE 2009, SCP: TORRENT DE COMA XIFRÀ",374
"VILELLA CORCELLES, RAFAEL",RAFAEL VILELLA CORCELLES (SORTIDA DEPURADORA),161
COMUNITAT DE VEÏNS MAS GUELO,URBANITZACIÓ MAS GUELO (SORTIDA DEPURADORA),
"SISTEMAS TÉCNICOS DE ENCOFRADOS, SA",SISTEMAS TÉCNICOS DE ENCOFRADOS (SORTIDA DEPURADORA),353
JUNTA DE COMPENSACIO DE FONT BONA  (EDAR I COL·LECTORS DE FONTBONA),EDAR I COL·LECTORS DE FONTBONA (SORTIDA DEPURADORA),378
"CATALANA DE EMBUTIDOS, SA","Abocament CATALANA DE EMBUTIDOS, SA - torrent Lladó",265
"COGENERACIÓN PRAT, SA",COGENERACION PRAT SA  (SORTIDA TRACTAMENT),97
INCASOL,AJUNTAMENT DE SALLENT - POLÍGON INDUSTRIAL PLANS DE LA SALA (SORTIDA DEPURADORA),247
"DESBALLESTAMENTS POT, SC","DESBALLESTAMENTS POT, SC (SORTIDA SEPARADOR HIDROCARBURS)",525
"RECUPERACION Y RECICLAJE DE RESIDUOS, SL",RECUPERACION Y RECICLAJE DE RESIDUSO_Riera de Rubí,585
EDISTRIBUCION REDES DIGITALES SL -SE LLANÇÀ-,"ENDESA DISTRIBUCIÓN, SL (fossa sèptica)",513
"COMA COHI, ALFREDO MARIA",ALFREDO COMA COHI (SORTIDA DEPURADORA) - riera de Rajadell,210
"PROMOU CT GEBIRA, SL",PROMOU CT GEBIRA SL_UA 4.2 LES GUNYOLES (SORTIDA DEPURADORA),30
"TRADIA TELECOM, SAU - CENTRE DE TELECOMUNICACIONS DE MUSSARA",AA2003002175 SERRA DE LA MUSSARA,12
FUNDACIO CATALANA DE L'ESPLAI -CASA COLÒNIES CAN MATEU-,ASSOCIACIÓ CATALANA DE CASES DE COLÒNIES - LES FEIXES (depuradora),454
"RESTAURACIONS AMBIENTALS CATALANES, SL-MONODIPÒSIT ST. ANTONI-","RESTAURACIONS AMBIENTALS CATALANES, SL (FOCUS 1)",315
CEDIPSA,ES LA TRAMUNTANA: RIERA CORBEROLA,574
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (PK 126,4), SORTIDA DEPURADORA",610
"AREAS, SA (A. DEL PENEDES)",021999005094-Riera de Marmllâ,67
AJUNTAMENT DE SANT CUGAT,AJUNTAMENT DE SANT CUGAT DEL VALLÈS (RIERA DE VOLPALLERES),286
"COLLELL CARRILLO, LÍDIA","COLLELL CARRILLO, LÍDIA",260
"COLOMER, PLANAS, GENÍS JORDI",GENÍS JORDI COLOMER PLANAS,400
"TAULER MUXACH, RICARDO (R.TAULER - A.S.2.498)",ABOCAMENT TORENT INNOMINAT TRIBUTARI RIU TORDERA-ESTACIÓ DE SERVEI MALAVELLA,429
"EMBUTIDOS SOLÀ, SA","EMBOTITS PERAFITA, S.L.",260
"HIERROS Y DESGUACES CASANOVAS, SL",021999000803 BARRANC DE LES ALZINES,20
"FRIGORÍFICOS COSTA BRAVA, SA  -RIUDELLOTS DE LA SELVA-","FRIGORIFICOS COSTA BRAVA, SA (SORTIDA DEPURADORA A LLERA)",424
"COMERCIAL E INDUSTRIAL ARIES, SA",COMERCIAL E INDUSTRIAL ARIES (llera),90
"UNGÉ MARIAGES, MARC","UNGÉ MARIEGES, MARC (SORTIDA DEPURADORA)",335
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE MARTORELL SORTIDA 25 EDIFICI D (SORTIDA TRACTAMENT),121
"DESBALLESTAMENTS POT, SC","DESBASTELLAMENTS POT, SC-LA TORENTERA (2)",525
JUNTA DE COMPENSACIÓ SEC. TORRE STA M RESIDENCIAL,JUNTA DE COMPENSACIÓ SEC. TORRE STA M RESIDENCIAL: RASA DE LA FONOLLOSA (TORRENT DEL VALLMOLL),50
"PMT-EUROPE, SL","TORRENT DEL MINYÓ INDEL INDUSTRIAL ELECTROLITICA,SA 021992000078",348
"RECUPERACIONS MASNOU, SL",RECUPERACIONS MASNOU S.L. (SORTIDA PRETRACTAMENT),353
"SARAS ENERGIA, SA","SARAS ENERGIA, SA: RIERA PALAGRET",404
EULALIA NOGAREDA BURCH,EULALIA NOGAREDA BURCH (sortida depuradora) - El torrent de Can Guitart,578
"RESANGI, SL",RIU SER,564
AJUNTAMENT DE SANT QUIRZE SAFAJA,"ETAP SANT QUIRZE SAFAJA (ABOCAMENT 1, AIGUA RENTAT FILTRES)",310
"TRANS GRUES FONT, SL",TRANS GRUES FONT SL (SORTIDA DESARENADOR 1 I SEPARADOR HIDROCARBURS),547
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE MARTORELL SORTIDA 25 EDIFICI F (SORTIDA TRACTAMENT),121
"EDMUNDO BEBIÉ, SA","RIU TER - EDMUNDO BIBIE,SA",485
"PUIG DEUMAL, REMEI (CAMPING LES ILLES)","CÀMPING LES ILLES, PUNT D'ABOCAMENT 2",336
"LA VINICOLA MESTRE, SA",VINICOLA MESTRE: RIERA DELS GARIDELLS,582
"SERVEIS MD-PRINCIPAT, SL  -HOSTAL CAN ENRIC  ""LA CANTINA""-",PATRIMUNDI SL (SORTIDA SISTEMA TRACTAMENT),462
"CAMPING FONT FREDA, SA",CAMPING FONT FREDA SA (Sortida depuradora),605
"RESTAURANT CAN PAIROT, SL","Abocament RESTAURANT CAN PAIROT, SCP - riera dels Sorreigs",474
"EXCAVACIONS ROSELL, SL","EXCAVACIONS ROSELL, SL (SORTIDA DEPURADORA BIOLÒGICA)",348
"INSTITUCIÓ FAMILIAR D'EDUCACIÓ, SA (COL·LEGI LA VALL)",ABOCAMENT COL·LEGI LA VALL,127
"SALVIA ELECTRONIC, S.L.",AA2002001596,188
EDAR LA FANGA,EDAR LA FANGA (SORTIDA DEPURADORA),139
AJUNTAMENT DE SANT PERE DE VILAMAJOR,P.I. LA PLANA,323
"AGIP ESPAÑA, SA (E.S. MONTSENY)","AGIP ESPAÑA, SA - E.S. MONTSENY (SORTIDA SEPARADOR D'HIDROCARBURS)",325
"ENDESA GENERACIÓN, SA  -C.H. ORFES-","ENDESA GENERACION,S.A  C.H. ORFES   (SORT. TRACTAMENT)",572
"RESTAURANT SANT FERRIOL,  SL  -HOTEL SPA SANT FERRIOL-","GIROPELL, SL (SORTIDA DEPURADORA EMPRESA)",558
"SERVEIS LA PERA, SL","SERVEIS LA PERA, SL",402
"ENDESA GENERACION, SA - PRESA DE SUSQUEDA","ENDESA GENERACION, SA - PRESA DE SUSQUEDA",453
"GUIXOS CANALS, SL","GUIXOX CANALS, LAS IGLAS (SORTIDA SANITÀRIES)",167
"DISTRIBUCIONS FIGUERES, SL","DISTRIBUCIONS FIGUERAS, SL (SORTIDA DEPURADORA)",516
"FAST ENGINYERIA, SL","FAST ENGINYERIA, SL (SORTIDA DEPURADORA  AIGÜES RESIDUALS SANITÀRIES)",160
"CAN MAS, CASA DE COLONIES, S.L","CAN MAS, CASA DE COLONIES, S.L   (LSORTIDA DEPURADORA",102
"MEGADYNE RUBBER, SA",Abocament MEGADYNE RUBBER SA - Torrent de la Pastera,
"ESTACION DE SERVICIO EL BRUCH, SA (REPSOL)",ESTACIÓ DE SERVEI EL BRUC: RIERA MAGAROLA,184
FUNDACIÓ SANT PERE CLAVER DEL CLOT  -COLÒNIES TERESA ESPONA-,CASA DE COLÒNIES TERESA ESPONA,461
"AIR LIQUIDE IBÉRICA DE GASES, SLU","AIR LIQUIDE IBERICA DE GASES, SLU  (abocament purgues refrigeració)",172
"CERAMICA LA CORONA, SA","CERÁMICA LA CORONA, SA (SORTIDA AIGÜES SANITÀRIES I NETEJA)",307
"TEXPACK ENGINEERING, SA","TEXPACK ENGINEERING, SA (SORTIDA DEPURADORA)",259
"RESERVES EXPERIENCIA RURAL, S.L.-TURISME RURAL-","PUJOLDEVALL VIÑOLAS, NURIA  (SORTIDA DEPURADORA)",619
CEDIPSA,E.S. EMPORDÀ NÚM. 31573 (SORTIDA SEPARADOR D'HIDROCARBURS),574
"ÀREA DE SERVEIS FRANCAS, SA","AREA DE SERVICIOS FRANCAS, S.A : INFILTRACIÓ AL TERRENY (25% AIGUA NO RECIRCULADA)",28
"BALVITEX, SA",BALVITEX SA (NORD) (SORTIDA DEPURADORA),269
"EUROAYCA, SL  -CLUB DE POLO SANT ANTONI DE VILADRAU-",FINCA MAS VIDAL (SORTIDA DEPURADORA),460
"CAMPING PUIGCERCOS, SL","ABOC CAMPING PUIGCERCÓS, S.L (RIERA DE MERLÈS)",591
"MONTAÑA DOU, LLUÍS","MONTAÑA DOU, LLUÍS (MAS LA TRIA): TORRENT E LA TRIA",258
"ARQUE ELIAS, SL","ARQUE ELIAS, SL",172
"DRAGADOS, SA","DRAGADOS, SA (SORTIDA DEPURADORA) - llera innominada",114
"GERMANS CAÑET-XIRGU, SL  -EXTRACTIVA L'ALSINA-","GERMANS CAÑET-XIRGU, S.L. (SORTIDA DECANTADOR)",422
"CAMPSA ESTACIONES DE SERVICIO, SA  -E.S. PALOL-","REIAL DEL TER, SA  (SORTIDA DEPURADORA)",414
"CAL JOANET, SCP-CAMPING MIRADOR AL PEDRAFORCA",CAMPING MIRADOR AL PEDRAFORCA -MONTSERRAT VILA MIRET- (sortida depuradora),279
COMUNIDAD DE PROPIETARIOS MAR MEDITERRANEA,COMUNIDAD DE PROPIETARIOS MAR MEDITERRANEA  (ARQUETA DE SORTIDA),82
AJUNTAMENT DE CASSÀ DE LA SELVA,AJUNTAMENT DE CASSÀ DE LA SELVA (RIERA VERNEDA),432
AJUNTAMENT DE VILADEMULS (NUCLI DE VILAFRESER),AJUNTAMENT DE VILADEMULS (NUCLI DE VILAFRESER),404
ATLETIC TERRASSA HOCKEY CLUB,TERRASSA HOCKEY CLUB (SORTIDA DEPURADORA PAVELLÓ),123
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU -MAÇANET- (SORT. TRACTAMENT)",373
"DECOLETAJE Y TORNILLERIA, SA  -DYTSA-","DECOLETAJE Y TORNILLERIA, SA  (SORTIDA DEPURADORA+SANITÀRIES)",413
"PROMOCIONES BLAUMAR, SA - HOTEL MAS LA BOELLA","PROMOCIONES BLAUMAR, SA - (sortida depuradora) - riera de la Boella",22
"INFRAESTRUCTURES VIARIES DE CATALUNYA, SA","INFRAESTRUCTURES VIARIES DE CATALUNYA, SA-PEATGE I BARRERA  ARENYS (ABOCAMENT 2)",
ASOCIACION RECREATIVA CULTURAL FAMILIAR TORDERA PARK,RIERA MINA D'OR AA2003000801 ASSOCIACIO RECREATIVA TORDERA PARK,361
