activitat_,nom_abocam,Punt2
"REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS, S.A",REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS SA (SORTIDA TRACTAMENT MARGE ESQUERRA),381
"RESGUARD DELS VENTS, SL  -HOTEL RESGUARD DELS VENTS-","HOTEL SPA RESGUARD DELS VENTS, SL (SORTIDA DEPURADORA)",493
"FRAGNOR, SL","FRAGNOR, SORTIDA OXIDADOR (SANITÀRIES) I SEPARADOR HODROCARBURS (PLUVIALS) A TORRENT",153
"MUGADAS, SLU",MUGADAS ABOCAMENT PLUVIALS,
"POLIESTER PLA DE L'ESTANY, SL",Abocament POLIESTER PLA DE L'ESTANY-Rec d'Espolla,567
"ARCILLAS DE BREDA, SA","ABOCAMENT ARCILLAS DE BREDA, SA (ARBRESA): 021995000141 - AB 1",358
"CONCERTO DÉVELOPPMENT IBERICA, SL",CONCERTO DÉVELOPPEMENT IBERICA SL (SORTIDA DEPURADORA),353
SUBESTACIÓ PIEROLA,"RED ELÉCTRICA DE ESPAÑA, S.A. SUBESTACIÓ PIEROLA (SORTIDA SANITÀRIES)",183
COMUNITAT DE PROPIETARIS ARIES TOSSA  -URB. ARIES-,URBANITZACIÓ ARIES (SORTIDA AIGÜES RESIDUALS DEPURADORA),
"TECNOLOGIAS DEL MEDIO AMBIENTE, SA",MANIPULADOS FORESTALES SA (TORRENT DIVUIT),325
"DEIXALLES I TRANSPORTS A.PLAZAS, SA","DEIXALLES I TRANSPORTS A.PLAZAS, SA",137
"BALVITEX, SA",BALVITEX SA (SUD) (SORTIDA DEPURADORA),269
"CESPA GESTION DE RESIDUOS, SA",ABOCAMENT 5 (PLUVIALS ZONA NOVA),182
"TGB, SA","TGB, SA (xarxa de clavegueram)",153
"ÀRIDS CATALUNYA, SA","ÀRIDS CATALUNYA, SA (SORTIDA DEPURADORA)",285
CONSELL COMARCAL ALT EMPORDÀ (DEIXALLERIA),CONSELL COMARCAL DE L'ALT EMPORDÀ - REC DE CAGARRELL,514
ATLETIC TERRASSA HOCKEY CLUB,TERRASSA HOCKEY CLUB (SORTIDA DEPURADORA),292
SIRAP PACKAGING IBERICA SLU,"Riu Llobregat - IVEX PACKAGING IBERICA, S.L.",268
"OWENS-CORNING FIBERGLAS ESPAÑA,SL","TORRENT SALTAN OWENS CORNING FIBERGLAS ESPAÑA,SA",197
EDAR POLÍGON INDUSTRIAL CAL GAT  (SANT JOAN DE LES ABADESSES),EDAR POLÍGON INDUSTRIAL CAL GAT (SORTIDA AIGUA TRACTADA),500
"E.ON GENERACION, SL (CENTRAL TERM. DE CERCS)",ENEL VIESGO GENERACIÓN TÉRMICA SL (INDUSTRIALS),278
"GESDIP, SAU","GESDIP, SAU -CENTRE COMERCIAL- (SORTIDA DEPURADORA)",472
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU  (PEATGE ALTAFULLA-TORREDEMBARRA)",
VERDCAMP FRUITS S.A.T.,RIERA AFLUENT BARRANC DE LES SEGURES,4
MANCOMUNITAT PENEDÈS-GARRAF (BARRI LA FANGA),MANCOMUNITAT PENEDÈS-GARRAF EDAR  DEL NUCLI DE LA FANGA: RIERA DEL ROMANÍ,139
"ECCOCIWINE, SL","BLAU NOU, S.L  (SORTIDA DEPURADORA)",403
